entry_time,exit_time,side,contracts,entry,exit,net_ntd,fees_ntd,slippage_ntd,reason,gap_observations,entry_nav
2018-04-19T08:45:00.000000000,2018-04-19T10:45:00.000000000,-1,1,10855.0,10958.0,-5221.812999999999,71.813,100.0,signal_exit,0,4988089.248999997
2018-04-19T11:45:00.000000000,2018-04-20T10:45:00.000000000,1,1,10969.0,10822.0,-7421.791,71.791,100.0,signal_exit,3,4982867.435999997
2018-04-20T10:45:00.000000000,2018-04-27T16:00:00.000000000,-1,1,10822.0,10572.0,12428.606,71.394,100.0,signal_exit,5,4975445.644999997
2018-05-03T08:45:00.000000000,2018-05-05T01:00:00.000000000,-1,1,10559.0,10571.0,-671.13,71.13,100.0,signal_exit,9,4987874.250999996
2018-05-09T03:00:00.000000000,2018-05-15T13:35:00.000000000,1,1,10666.0,10864.0,9828.47,71.53,100.0,roll_blackout,91,4987203.120999997
2018-05-17T08:45:00.000000000,2018-05-17T10:45:00.000000000,1,1,10921.0,10852.0,-3521.773,71.773,100.0,signal_exit,0,4997031.590999996
2018-05-21T10:45:00.000000000,2018-05-23T11:45:00.000000000,1,1,10942.0,10869.0,-3721.811,71.811,100.0,signal_exit,87,4993509.817999996
2018-05-24T16:00:00.000000000,2018-05-24T23:00:00.000000000,1,1,10942.0,10863.0,-4021.805,71.805,100.0,signal_exit,5,4989788.0069999965
2018-05-25T03:00:00.000000000,2018-05-29T10:45:00.000000000,1,1,10914.0,10923.0,378.163,71.837,100.0,signal_exit,136,4985766.201999997
2018-05-29T18:00:00.000000000,2018-06-01T10:45:00.000000000,-1,1,10897.0,10920.0,-1221.817,71.81700000000001,100.0,signal_exit,21,4986144.3649999965
2018-06-01T11:45:00.000000000,2018-06-08T12:45:00.000000000,1,1,10915.0,11138.0,11077.946999999998,72.053,100.0,signal_exit,110,4984922.547999997
2018-06-19T10:45:00.000000000,2018-06-19T13:35:00.000000000,-1,1,10901.0,10885.0,728.2139999999999,71.786,100.0,roll_blackout,0,4996000.494999996
2018-06-21T08:45:00.000000000,2018-06-27T23:00:00.000000000,-1,1,10724.0,10589.0,6678.687,71.313,100.0,signal_exit,64,4996728.708999996
2018-06-28T01:00:00.000000000,2018-06-29T04:00:00.000000000,-1,1,10553.0,10553.0,-71.106,71.106,100.0,signal_exit,1,5003407.395999996
2018-07-05T12:45:00.000000000,2018-07-09T09:45:00.000000000,-1,1,10532.0,10625.0,-4721.157,71.157,100.0,signal_exit,22,5003336.289999996
2018-07-09T12:45:00.000000000,2018-07-17T10:45:00.000000000,1,1,10666.0,10762.0,4728.572,71.428,100.0,signal_exit,211,4998615.132999997
2018-07-19T08:45:00.000000000,2018-07-31T00:00:00.000000000,1,1,10757.0,10938.0,8978.305,71.69500000000001,100.0,signal_exit,196,5003343.704999996
2018-07-31T10:45:00.000000000,2018-08-02T11:45:00.000000000,1,1,10993.0,10903.0,-4571.896,71.89600000000002,100.0,signal_exit,91,5012322.009999996
2018-08-03T18:00:00.000000000,2018-08-06T17:00:00.000000000,1,1,11008.0,10966.0,-2171.974,71.974,100.0,signal_exit,39,5007750.113999996
2018-08-06T19:00:00.000000000,2018-08-10T04:00:00.000000000,1,1,11001.0,11010.0,377.989,72.01100000000001,100.0,signal_exit,253,5005578.139999996
2018-08-13T10:45:00.000000000,2018-08-14T13:35:00.000000000,-1,1,10824.0,10821.0,78.355,71.64500000000001,100.0,roll_blackout,20,5005956.128999996
2018-08-16T08:45:00.000000000,2018-08-17T00:00:00.000000000,-1,1,10609.0,10729.0,-6071.338,71.338,100.0,signal_exit,1,5006034.483999996
2018-08-17T10:45:00.000000000,2018-08-18T04:00:00.000000000,-1,1,10696.0,10685.0,478.619,71.38100000000001,100.0,signal_exit,3,4999963.145999996
2018-08-27T16:00:00.000000000,2018-08-31T04:00:00.000000000,1,1,10887.0,10972.0,4178.141,71.859,100.0,signal_exit,98,5000441.764999996
2018-09-04T15:00:00.000000000,2018-09-04T19:00:00.000000000,1,1,11009.0,10973.0,-1871.982,71.982,100.0,signal_exit,2,5004619.905999996
2018-09-05T10:45:00.000000000,2018-09-05T16:00:00.000000000,1,1,11008.0,10889.0,-6021.897,71.897,100.0,signal_exit,0,5002747.923999996
2018-09-07T12:45:00.000000000,2018-09-13T17:00:00.000000000,-1,1,10809.0,10735.0,3628.456,71.544,100.0,signal_exit,68,4996726.026999996
2018-09-21T12:45:00.000000000,2018-09-27T08:45:00.000000000,1,1,10943.0,10954.0,478.1029999999999,71.89699999999999,100.0,signal_exit,107,5000354.482999996
2018-09-27T10:45:00.000000000,2018-09-28T12:45:00.000000000,1,1,10997.0,10958.0,-2021.955,71.955,100.0,signal_exit,19,5000832.585999996
2018-10-01T10:45:00.000000000,2018-10-02T10:45:00.000000000,1,1,11013.0,10898.0,-5821.911,71.911,100.0,signal_exit,67,4998810.630999996
2018-10-02T12:45:00.000000000,2018-10-16T10:45:00.000000000,-1,1,10885.0,9965.0,45929.15,70.85000000000001,100.0,signal_exit,80,4992988.719999996
2018-10-18T11:45:00.000000000,2018-10-19T21:00:00.000000000,-1,1,9909.0,9937.0,-1469.846,69.846,100.0,signal_exit,2,5038917.869999996
2018-10-23T01:00:00.000000000,2018-10-29T20:00:00.000000000,-1,1,9885.0,9548.0,16780.567,69.433,100.0,signal_exit,7,5037448.0239999965
2018-10-30T04:00:00.000000000,2018-10-30T10:45:00.000000000,-1,1,9419.0,9536.0,-5918.955,68.955,100.0,signal_exit,0,5054228.590999996
2018-11-02T16:00:00.000000000,2018-11-05T10:45:00.000000000,1,1,9906.0,9773.0,-6719.678999999999,69.679,100.0,signal_exit,2,5048309.635999996
2018-11-07T10:45:00.000000000,2018-11-09T10:45:00.000000000,1,1,9861.0,9785.0,-3869.646,69.646,100.0,signal_exit,7,5041589.956999997
2018-11-14T23:00:00.000000000,2018-11-16T16:00:00.000000000,1,1,9822.0,9779.0,-2219.601,69.601,100.0,signal_exit,1,5037720.310999997
2018-11-16T16:00:00.000000000,2018-11-19T08:45:00.000000000,-1,1,9779.0,9803.0,-1269.582,69.582,100.0,signal_exit,4,5035500.709999997
2018-11-19T21:00:00.000000000,2018-11-20T00:00:00.000000000,1,1,9840.0,9801.0,-2019.641,69.641,100.0,signal_exit,0,5034231.127999997
2018-11-22T10:45:00.000000000,2018-11-26T10:45:00.000000000,-1,1,9738.0,9782.0,-2269.52,69.52,100.0,signal_exit,66,5032211.486999997
2018-11-26T20:00:00.000000000,2018-11-27T10:45:00.000000000,1,1,9800.0,9691.0,-5519.491,69.49100000000001,100.0,signal_exit,17,5029941.966999997
2018-11-27T10:45:00.000000000,2018-11-27T12:45:00.000000000,-1,1,9691.0,9734.0,-2219.425,69.425,100.0,signal_exit,0,5024422.475999997
2018-11-28T11:45:00.000000000,2018-11-30T17:00:00.000000000,1,1,9829.0,9835.0,230.336,69.66400000000002,100.0,signal_exit,9,5022203.050999997
2018-12-03T09:45:00.000000000,2018-12-05T03:00:00.000000000,1,1,10082.0,9929.0,-7720.011,70.011,100.0,signal_exit,21,5022433.386999997
2018-12-06T10:45:00.000000000,2018-12-11T15:00:00.000000000,-1,1,9688.0,9689.0,-119.377,69.377,100.0,signal_exit,10,5014713.375999997
2018-12-14T10:45:00.000000000,2018-12-18T13:35:00.000000000,-1,1,9687.0,9719.0,-1669.4060000000002,69.40599999999999,100.0,roll_blackout,9,5014593.998999997
2018-12-20T08:45:00.000000000,2018-12-27T03:00:00.000000000,-1,1,9637.0,9550.0,4280.813,69.187,100.0,signal_exit,161,5012924.592999997
2019-01-02T11:45:00.000000000,2019-01-07T08:45:00.000000000,-1,1,9543.0,9542.0,-19.085,69.08500000000001,100.0,signal_exit,2,5017205.405999997
2019-01-09T10:45:00.000000000,2019-01-14T11:45:00.000000000,1,1,9733.0,9671.0,-3169.404,69.404,100.0,signal_exit,18,5017186.320999997
2019-01-15T10:45:00.000000000,2019-01-15T13:35:00.000000000,1,1,9790.0,9798.0,330.412,69.588,100.0,roll_blackout,0,5014016.916999997
2019-01-17T08:45:00.000000000,2019-01-17T17:00:00.000000000,1,1,9778.0,9750.0,-1469.528,69.52799999999999,100.0,signal_exit,0,5014347.328999996
2019-01-18T01:00:00.000000000,2019-01-23T00:00:00.000000000,1,1,9775.0,9823.0,2330.402,69.598,100.0,signal_exit,84,5012877.800999996
2019-01-24T15:00:00.000000000,2019-01-29T10:45:00.000000000,1,1,9865.0,9884.0,880.251,69.749,100.0,signal_exit,47,5015208.202999996
2019-02-11T08:45:00.000000000,2019-02-14T23:00:00.000000000,1,1,10011.0,10053.0,2029.936,70.064,100.0,signal_exit,117,5016088.453999996
