entry_time,exit_time,side,contracts,entry,exit,net_ntd,fees_ntd,slippage_ntd,reason,gap_observations,entry_nav
2021-06-10T15:00:00.000000000,2021-06-15T13:35:00.000000000,1,1,17158.0,17390.0,11515.452,84.548,100.0,roll_blackout,24,5087247.425000001
2021-06-17T11:45:00.000000000,2021-06-18T17:00:00.000000000,1,1,17185.0,17203.0,815.6120000000001,84.388,100.0,signal_exit,7,5098762.877
2021-06-21T08:45:00.000000000,2021-06-23T10:45:00.000000000,-1,1,17047.0,17247.0,-10084.294,84.294,100.0,signal_exit,7,5099578.489
2021-06-23T10:45:00.000000000,2021-07-08T11:45:00.000000000,1,1,17247.0,17800.0,27564.953000000005,85.04699999999998,100.0,signal_exit,164,5089494.195
2021-07-08T15:00:00.000000000,2021-07-08T17:00:00.000000000,1,1,17778.0,17725.0,-2735.503,85.503,100.0,signal_exit,0,5117059.148
2021-07-12T08:45:00.000000000,2021-07-16T01:00:00.000000000,1,1,17849.0,17864.0,664.2869999999999,85.71300000000001,100.0,signal_exit,43,5114323.6450000005
2021-07-16T15:00:00.000000000,2021-07-17T00:00:00.000000000,1,1,17907.0,17886.0,-1135.793,85.793,100.0,signal_exit,5,5114987.932
2021-07-19T20:00:00.000000000,2021-07-20T13:35:00.000000000,-1,1,17654.0,17542.0,5514.804,85.196,100.0,roll_blackout,0,5113852.139
2021-07-22T08:45:00.000000000,2021-07-22T20:00:00.000000000,-1,1,17440.0,17441.0,-134.881,84.881,100.0,signal_exit,0,5119366.943
2021-07-22T22:00:00.000000000,2021-07-23T04:00:00.000000000,-1,1,17412.0,17431.0,-1034.843,84.843,100.0,signal_exit,1,5119232.062
2021-07-26T11:45:00.000000000,2021-07-29T12:45:00.000000000,-1,1,17279.0,17240.0,1865.481,84.51899999999999,100.0,signal_exit,9,5118197.219
2021-08-05T00:00:00.000000000,2021-08-06T10:45:00.000000000,1,1,17549.0,17441.0,-5484.990000000001,84.99000000000001,100.0,signal_exit,30,5120062.699999999
2021-08-11T12:45:00.000000000,2021-08-17T13:35:00.000000000,-1,1,17103.0,16619.0,24116.278,83.722,100.0,roll_blackout,51,5114577.709999999
2021-08-19T08:45:00.000000000,2021-08-23T10:45:00.000000000,-1,1,16610.0,16668.0,-2983.278,83.278,100.0,signal_exit,4,5138693.987999999
2021-08-30T11:45:00.000000000,2021-09-07T12:45:00.000000000,1,1,17291.0,17388.0,4765.321,84.679,100.0,signal_exit,143,5135710.709999999
2021-09-10T11:45:00.000000000,2021-09-14T13:35:00.000000000,1,1,17438.0,17448.0,415.114,84.88600000000001,100.0,roll_blackout,27,5140476.0309999995
2021-09-22T10:45:00.000000000,2021-09-24T00:00:00.000000000,-1,1,16766.0,17159.0,-19733.925,83.92500000000001,100.0,signal_exit,14,5140891.145
2021-09-28T12:45:00.000000000,2021-10-07T09:45:00.000000000,-1,1,17122.0,16691.0,21466.187,83.813,100.0,signal_exit,14,5121157.22
2021-10-12T10:45:00.000000000,2021-10-14T18:00:00.000000000,-1,1,16435.0,16518.0,-4232.9529999999995,82.953,100.0,signal_exit,8,5142623.407
2021-10-19T10:45:00.000000000,2021-10-19T13:35:00.000000000,1,1,16921.0,16906.0,-833.8269999999999,83.82700000000001,100.0,roll_blackout,0,5138390.454
2021-10-21T09:45:00.000000000,2021-10-21T19:00:00.000000000,1,1,16984.0,16834.0,-7583.818,83.818,100.0,signal_exit,1,5137556.627
2021-10-22T12:45:00.000000000,2021-10-23T01:00:00.000000000,1,1,16897.0,16812.0,-4333.709,83.709,100.0,signal_exit,9,5129972.809
2021-10-25T12:45:00.000000000,2021-10-29T10:45:00.000000000,1,1,16911.0,16939.0,1316.15,83.85000000000001,100.0,signal_exit,73,5125639.100000001
2021-11-01T10:45:00.000000000,2021-11-11T08:45:00.000000000,1,1,17047.0,17429.0,19015.524,84.476,100.0,signal_exit,102,5126955.250000001
2021-11-11T10:45:00.000000000,2021-11-11T15:00:00.000000000,1,1,17511.0,17484.0,-1434.995,84.995,100.0,signal_exit,0,5145970.774000001
2021-11-11T19:00:00.000000000,2021-11-16T13:35:00.000000000,1,1,17504.0,17685.0,8964.811,85.18900000000001,100.0,roll_blackout,63,5144535.779000001
2021-11-18T09:45:00.000000000,2021-11-19T21:00:00.000000000,1,1,17799.0,17743.0,-2885.542,85.54200000000002,100.0,signal_exit,22,5153500.590000001
2021-11-19T23:00:00.000000000,2021-11-23T02:00:00.000000000,1,1,17814.0,17784.0,-1585.598,85.59800000000001,100.0,signal_exit,18,5150615.048
2021-11-27T01:00:00.000000000,2021-11-30T10:45:00.000000000,-1,1,17161.0,17475.0,-15784.636,84.63600000000001,100.0,signal_exit,12,5149029.45
2021-11-30T16:00:00.000000000,2021-12-01T10:45:00.000000000,-1,1,17279.0,17485.0,-10384.764,84.764,100.0,signal_exit,1,5133244.814
2021-12-03T02:00:00.000000000,2021-12-06T19:00:00.000000000,1,1,17747.0,17609.0,-6985.356000000001,85.356,100.0,signal_exit,5,5122860.05
2021-12-07T16:00:00.000000000,2021-12-10T17:00:00.000000000,1,1,17810.0,17814.0,114.376,85.62400000000001,100.0,signal_exit,33,5115874.694
2021-12-10T22:00:00.000000000,2021-12-11T00:00:00.000000000,1,1,17869.0,17834.0,-1835.703,85.70300000000002,100.0,signal_exit,0,5115989.07
2021-12-13T10:45:00.000000000,2021-12-13T16:00:00.000000000,1,1,17855.0,17778.0,-3935.633,85.633,100.0,signal_exit,0,5114153.367000001
2021-12-14T11:45:00.000000000,2021-12-14T13:35:00.000000000,-1,1,17609.0,17601.0,314.79,85.21,100.0,roll_blackout,0,5110217.734
2021-12-16T11:45:00.000000000,2021-12-20T11:45:00.000000000,1,1,17737.0,17585.0,-7685.322,85.322,100.0,signal_exit,6,5110532.524
2021-12-22T08:45:00.000000000,2022-01-06T11:45:00.000000000,1,1,17848.0,18301.0,22563.851,86.149,100.0,signal_exit,318,5102847.2020000005
2022-01-12T02:00:00.000000000,2022-01-14T10:45:00.000000000,1,1,18341.0,18319.0,-1186.66,86.66000000000001,100.0,signal_exit,9,5125411.053
2022-01-17T10:45:00.000000000,2022-01-18T13:35:00.000000000,1,1,18477.0,18364.0,-5736.841,86.84100000000001,100.0,roll_blackout,35,5124224.393
2022-01-21T09:45:00.000000000,2022-02-07T10:45:00.000000000,-1,1,17932.0,17722.0,10414.346,85.654,100.0,signal_exit,1,5118487.552
2022-02-10T17:00:00.000000000,2022-02-14T08:45:00.000000000,1,1,18372.0,18098.0,-13786.47,86.46999999999998,100.0,signal_exit,10,5128901.898
2022-02-17T08:45:00.000000000,2022-02-18T23:00:00.000000000,1,1,18270.0,18170.0,-5086.44,86.44,100.0,signal_exit,9,5115115.428
2022-02-21T16:00:00.000000000,2022-02-21T18:00:00.000000000,1,1,18233.0,18152.0,-4136.385,86.385,100.0,signal_exit,0,5110028.988
2022-02-24T04:00:00.000000000,2022-02-26T02:00:00.000000000,-1,1,17899.0,17717.0,9014.384,85.616,100.0,signal_exit,0,5105892.603
2022-03-04T10:45:00.000000000,2022-03-09T19:00:00.000000000,-1,1,17777.0,17111.0,33215.112,84.88800000000002,100.0,signal_exit,0,5114906.987
2022-03-12T04:00:00.000000000,2022-03-14T10:45:00.000000000,-1,1,17156.0,17230.0,-3784.386,84.38600000000001,100.0,signal_exit,0,5148122.098999999
2022-03-14T12:45:00.000000000,2022-03-14T19:00:00.000000000,-1,1,17209.0,17290.0,-4134.499000000001,84.49900000000001,100.0,signal_exit,0,5144337.7129999995
2022-03-15T02:00:00.000000000,2022-03-15T13:35:00.000000000,-1,1,17088.0,16900.0,9316.012,83.98800000000001,100.0,roll_blackout,1,5140203.214
2022-03-22T02:00:00.000000000,2022-03-25T11:45:00.000000000,1,1,17489.0,17615.0,6214.896,85.104,100.0,signal_exit,8,5149519.226
2022-03-25T20:00:00.000000000,2022-03-25T22:00:00.000000000,1,1,17654.0,17602.0,-2685.256,85.256,100.0,signal_exit,0,5155734.1219999995
2022-03-29T18:00:00.000000000,2022-03-31T18:00:00.000000000,1,1,17621.0,17610.0,-635.231,85.231,100.0,signal_exit,1,5153048.865999999
2022-04-07T00:00:00.000000000,2022-04-13T10:45:00.000000000,-1,1,17397.0,17236.0,7965.367000000001,84.63300000000001,100.0,signal_exit,4,5152413.635
2022-04-15T08:45:00.000000000,2022-04-19T13:35:00.000000000,-1,1,17101.0,16998.0,5065.901,84.099,100.0,roll_blackout,47,5160379.001999999
2022-04-22T09:45:00.000000000,2022-04-28T17:00:00.000000000,-1,1,16900.0,16495.0,20166.605000000003,83.39500000000001,100.0,signal_exit,0,5165444.902999999
2022-04-28T23:00:00.000000000,2022-04-29T02:00:00.000000000,-1,1,16386.0,16552.0,-8382.938,82.938,100.0,signal_exit,0,5185611.507999999
2022-05-03T08:45:00.000000000,2022-05-03T10:45:00.000000000,-1,1,16486.0,16472.0,617.042,82.95800000000001,100.0,signal_exit,0,5177228.569999999
2022-05-03T18:00:00.000000000,2022-05-04T01:00:00.000000000,-1,1,16433.0,16461.0,-1482.8940000000002,82.894,100.0,signal_exit,0,5177845.612
2022-05-05T00:00:00.000000000,2022-05-05T02:00:00.000000000,-1,1,16433.0,16541.0,-5482.974,82.974,100.0,signal_exit,0,5176362.717999999
2022-05-06T00:00:00.000000000,2022-05-13T21:00:00.000000000,-1,1,16347.0,15886.0,22967.767,82.23300000000002,100.0,signal_exit,2,5170879.743999999
2022-05-19T18:00:00.000000000,2022-05-20T03:00:00.000000000,-1,1,15758.0,16019.0,-13131.777,81.77700000000002,100.0,signal_exit,0,5193847.510999999
2022-05-24T09:45:00.000000000,2022-05-24T11:45:00.000000000,1,1,16134.0,16011.0,-6232.1449999999995,82.145,100.0,signal_exit,0,5180715.733999999
