entry_time,exit_time,side,contracts,entry,exit,net_ntd,fees_ntd,slippage_ntd,reason,gap_observations,entry_nav
2021-04-14T16:00:00.000000000,2021-04-15T04:00:00.000000000,1,1,16889.0,16840.0,-2533.7290000000003,83.729,300.0,signal_exit,10,5035468.153000002
2021-04-15T10:45:00.000000000,2021-04-20T13:35:00.000000000,1,1,16925.0,17318.0,19565.757,84.243,300.0,roll_blackout,48,5032934.4240000015
2021-04-22T08:45:00.000000000,2021-04-22T15:00:00.000000000,1,1,17261.0,17093.0,-8484.354,84.354,300.0,signal_exit,0,5052500.181000002
2021-04-23T11:45:00.000000000,2021-05-03T10:45:00.000000000,1,1,17202.0,17319.0,5765.479,84.521,300.0,signal_exit,76,5044015.827000001
2021-05-04T10:45:00.000000000,2021-05-06T10:45:00.000000000,-1,1,16709.0,17028.0,-16033.737,83.73700000000001,300.0,signal_exit,10,5049781.306000002
2021-05-06T12:45:00.000000000,2021-05-06T17:00:00.000000000,-1,1,16878.0,16982.0,-5283.86,83.86,300.0,signal_exit,0,5033747.569000002
2021-05-11T03:00:00.000000000,2021-05-14T21:00:00.000000000,-1,1,17066.0,15855.0,60467.079,82.921,300.0,signal_exit,2,5028463.709000002
2021-05-17T10:45:00.000000000,2021-05-18T10:45:00.000000000,-1,1,15439.0,16003.0,-28281.442000000003,81.44200000000001,300.0,signal_exit,1,5088930.788000002
2021-05-26T01:00:00.000000000,2021-05-27T10:45:00.000000000,1,1,16537.0,16399.0,-6982.936000000001,82.936,300.0,signal_exit,5,5060649.346000002
2021-05-27T20:00:00.000000000,2021-06-03T21:00:00.000000000,1,1,16586.0,17120.0,26616.294,83.706,300.0,signal_exit,54,5053666.410000002
2021-06-04T00:00:00.000000000,2021-06-04T04:00:00.000000000,1,1,17168.0,17127.0,-2134.295,84.295,300.0,signal_exit,0,5080282.704000002
2021-06-04T23:00:00.000000000,2021-06-07T10:45:00.000000000,1,1,17185.0,16986.0,-10034.171,84.171,300.0,signal_exit,0,5078148.409000002
2021-06-07T17:00:00.000000000,2021-06-08T01:00:00.000000000,1,1,17177.0,17129.0,-2484.306,84.30600000000001,300.0,signal_exit,2,5068114.238000002
