variant,window,direction,slippage_per_side,sizing,period,return,ending_equity
baseline,early,long_only,1,fixed_one,2019-07,0.0037298610582492397,4972672.112
baseline,early,long_only,1,fixed_one,2019-08,-0.004369309600680826,4950944.968
baseline,early,long_only,1,fixed_one,2019-09,0.0022001197893337654,4961837.64
baseline,early,long_only,1,fixed_one,2019-10,0.004620813832191484,4984765.368
baseline,early,long_only,1,fixed_one,2019-11,0.002141886971960716,4995442.172
baseline,early,long_only,1,fixed_one,2019-12,0.005820479148567204,5024518.039
baseline,early,long_only,1,fixed_one,2020-01,-0.004154477073815888,5003643.794
baseline,early,long_only,1,fixed_one,2020-02,-0.0015408506914990072,4995933.926
baseline,early,long_only,1,fixed_one,2020-03,0.0,4995933.926
baseline,early,long_only,1,fixed_one,2020-04,0.0,4995933.926
baseline,early,long_only,1,fixed_one,2020-05,-0.0011024517300630698,4990426.15
baseline,early,long_only,1,fixed_one,2020-06,0.006467799548541375,5022703.226
baseline,early,long_only,1,fixed_one,2020-07,0.012538226959937893,5085679.019
baseline,early,long_only,1,fixed_one,2020-08,0.005805484359059143,5115203.849
baseline,early,long_only,1,fixed_one,2020-09,-0.0032184117165181547,5098741.017
baseline,early,long_only,1,fixed_one,2020-10,-0.0008949689707292707,5094177.802
baseline,early,long_only,1,fixed_one,2020-11,0.006801370770057824,5128825.194
baseline,early,long_only,1,fixed_one,2020-12,0.008136773124734376,5170557.281
baseline,early,long_only,3,notional_one,2017-07,0.015199012800000133,5075995.064
baseline,early,long_only,3,notional_one,2017-08,0.016896108628682294,5161759.628
baseline,early,long_only,3,notional_one,2017-09,-0.025554812216451284,5029851.83
baseline,early,long_only,3,notional_one,2017-10,0.025216958925806,5156689.397
baseline,early,long_only,3,notional_one,2017-11,-0.013912364983963754,5084947.652
baseline,early,long_only,3,notional_one,2017-12,0.0029458568750668768,5099927.18
baseline,early,long_only,3,notional_one,2018-01,0.018957021853006184,5196606.611
baseline,early,long_only,3,notional_one,2018-02,-0.054591752510088076,4912914.749
baseline,early,long_only,3,notional_one,2018-03,-0.008718543713529536,4870081.287
baseline,early,long_only,3,notional_one,2018-04,-0.010161313761250068,4820594.863
baseline,early,long_only,3,notional_one,2018-05,-0.003829626949507059,4802133.783
baseline,early,long_only,3,notional_one,2018-06,-0.008772858879762646,4760005.341
baseline,early,long_only,3,notional_one,2018-07,0.03953935584460089,4948212.886
baseline,early,long_only,3,notional_one,2018-08,0.014693479378324215,5020919.35
baseline,early,long_only,3,notional_one,2018-09,-0.02250636091177205,4907916.727
baseline,early,long_only,3,notional_one,2018-10,-0.036325816006454015,4729632.647
baseline,early,long_only,3,notional_one,2018-11,0.0,4729632.647
baseline,early,long_only,3,notional_one,2018-12,0.0,4729632.647
baseline,early,long_only,3,notional_one,2019-01,0.0,4729632.647
baseline,early,long_only,3,notional_one,2019-02,0.0,4729632.647
baseline,early,long_only,3,notional_one,2019-03,0.0,4729632.647
baseline,early,long_only,3,notional_one,2019-04,0.005230467955199769,4754370.839
baseline,early,long_only,3,notional_one,2019-05,-0.034806774146125874,4588886.527
baseline,early,long_only,3,notional_one,2019-06,-0.0022412495797152765,4578601.687
baseline,early,long_only,3,notional_one,2019-07,0.03193718126107892,4724829.319
baseline,early,long_only,3,notional_one,2019-08,-0.03763461577012783,4547012.183
baseline,early,long_only,3,notional_one,2019-09,0.018636712766423535,4631753.543
baseline,early,long_only,3,notional_one,2019-10,0.03925550492097929,4813575.367
baseline,early,long_only,3,notional_one,2019-11,0.017412095087281587,4897389.799
baseline,early,long_only,3,notional_one,2019-12,0.04716939951301602,5128396.735
baseline,early,long_only,3,notional_one,2020-01,-0.032874593895864,4959802.775
baseline,early,long_only,3,notional_one,2020-02,-0.012919652435171791,4895723.847
baseline,early,long_only,3,notional_one,2020-03,0.0,4895723.847
baseline,early,long_only,3,notional_one,2020-04,0.0,4895723.847
baseline,early,long_only,3,notional_one,2020-05,-0.009490368626178025,4849261.623
baseline,early,long_only,3,notional_one,2020-06,0.05291869730906451,5105878.231
baseline,early,long_only,3,notional_one,2020-07,0.09835846474968557,5608084.575
baseline,early,long_only,3,notional_one,2020-08,0.0444378715526057,5857295.916999999
baseline,early,long_only,3,notional_one,2020-09,-0.02575684618599061,5706430.447
baseline,early,long_only,3,notional_one,2020-10,-0.0076701106596348545,5662661.494
baseline,early,long_only,3,notional_one,2020-11,0.04818259828688243,5935503.238
baseline,early,long_only,3,notional_one,2020-12,0.05584306817962159,6266959.949999999
baseline,early,long_only,3,fixed_one,2017-07,0.0016887791999999902,5008443.896
baseline,early,long_only,3,fixed_one,2017-08,0.0019026660172056786,5017973.292
baseline,early,long_only,3,fixed_one,2017-09,-0.0029207851750360225,5003316.87
